prob,error,minimum,feval,niter,convergence
cubic_0.0_5.0_-10.0_-6.0_250_48.csv,6.142544251019899e-10,5.949444093986535e-17,7.0,7,true
cubic_0.0_6.0_0.0_-8.0_150_20.csv,8.372906691579923e-9,5.132291156692489e-15,6.0,6,true
cubic_0.0_6.0_-3.5_9.0_850_85.csv,7.140328328603118e-10,1.2388873538198376e-16,7.0,7,true
cubic_0.0_8.5_-1.5_-7.5_850_178.csv,3.91781065712572e-9,3.0134583254435214e-16,13.0,13,true
cubic_0.0_9.5_1.0_-9.5_700_35.csv,2.650455296470369e-8,1.0685837750748727e-14,7.0,7,true
cubic_-0.5_2.0_-6.0_5.0_900_198.csv,1.5418146759316187e-8,1.3921593951937533e-13,9.0,9,true
cubic_0.5_2.5_-2.5_8.0_1000_160.csv,4.887308957535197e-8,1.2406046745506724e-12,7.0,7,true
cubic_-0.5_-3.5_-5.5_1.5_400_32.csv,3.676884585857021e-6,1.179509946422213e-10,7.0,7,true
cubic_-0.5_4.0_0.0_-4.0_250_45.csv,2.760613559971148e-7,7.00689528712069e-12,7.0,7,true
cubic_0.5_-4.0_2.0_5.5_200_28.csv,1.9585240594865994e-6,1.620385960815971e-11,8.0,8,true
cubic_0.5_-5.5_1.5_2.5_400_72.csv,2.802620580055759e-9,6.55141707695897e-16,7.0,7,true
cubic_-0.5_-6.0_-2.5_8.5_950_200.csv,3.6339820042030624e-10,4.927816551402277e-17,7.0,7,true
cubic_-0.5_6.5_-7.5_8.5_500_120.csv,1.3170852852795178e-8,5.482146914715547e-14,12.0,12,true
cubic_0.5_-8.0_-10.0_-4.5_600_114.csv,6.254108342318432e-11,1.094532601820009e-18,7.0,7,true
cubic_10.0_-0.5_2.5_-8.0_450_104.csv,11.415089318401215,597.8344850675791,10.0,10,true
cubic_-10.0_-10.0_6.0_-10.0_300_33.csv,1.138708682901779e-9,1.6228716666462612e-16,6.0,6,true
cubic_-10.0_1.5_-10.0_6.5_550_110.csv,12.237841469072482,1145.5357301418978,7.0,7,true
cubic_10.0_2.0_0.5_-9.0_500_85.csv,4.792788388385816e-11,4.715096268998631e-19,8.0,8,true
cubic_-10.0_2.0_7.0_-7.0_650_91.csv,6.037539357350852e-8,9.177833735776961e-13,7.0,7,true
cubic_1.0_-0.5_-2.5_-1.0_600_78.csv,9.481769314145794e-7,1.7786464591719407e-11,8.0,8,true
cubic_-1.0_0.5_-4.5_-5.5_350_18.csv,3.549190572549321e-7,9.67357737665728e-13,7.0,7,true
cubic_-10.0_-5.5_-1.0_-6.0_800_144.csv,2.62430077668796e-11,2.0394386093628955e-19,8.0,8,true
cubic_-1.0_-0.5_-9.5_8.5_900_99.csv,1.1236345187626284e-10,4.473026915471127e-18,7.0,7,true
cubic_10.0_6.5_-10.0_3.0_650_72.csv,1.606162314260473e-9,3.2026176022793956e-16,7.0,7,true
cubic_10.0_7.5_-7.5_10.0_100_15.csv,4.5185173380701826e-7,3.949933176260036e-12,8.0,8,true
cubic_10.0_8.0_4.5_8.5_200_12.csv,1.0165822583729778e-7,9.864314878945107e-13,5.0,5,true
cubic_-10.0_8.0_9.0_-5.0_800_64.csv,1.3240644136658375e-9,3.0798109203684825e-16,7.0,7,true
cubic_10.0_9.0_-1.0_10.0_800_40.csv,2.4786963592760003e-9,2.2766393276678053e-15,6.0,6,true
cubic_10.0_9.0_7.5_8.5_750_82.csv,6.368245827559349e-6,6.391409531731395e-10,12.0,12,true
cubic_1.0_10.0_-3.0_-1.0_850_85.csv,7.42581329760128e-10,2.835015473053372e-17,9.0,9,true
cubic_1.0_1.0_5.5_-8.0_400_72.csv,2.522553100058893,517.811322813114,8.0,8,true
cubic_1.0_-1.5_9.0_-9.0_100_6.csv,7.994177231296362e-8,3.308230223485048e-13,5.0,5,true
cubic_1.0_2.0_3.0_4.0_100_3.csv,2.4610047333339935e-9,2.66749941082119e-16,5.0,5,true
cubic_1.0_-2.5_-8.0_1.5_450_36.csv,7.281715674878342e-9,1.3613504310881473e-14,6.0,6,true
cubic_1.0_-3.0_8.0_5.5_150_8.csv,8.734831376644436e-6,2.6600969280302244e-10,6.0,6,true
cubic_-1.0_3.5_1.5_-8.0_900_126.csv,1.4800130898606767e-8,7.632849725121142e-14,7.0,7,true
cubic_-1.0_3.5_-7.0_4.0_500_80.csv,6.688254294839879e-8,1.826809353680709e-13,13.0,13,true
cubic_1.0_-6.5_5.0_-4.0_350_74.csv,2.41251683780499,32.02615764790002,16.0,16,true
cubic_-1.0_-7.0_1.0_-2.5_750_45.csv,5.326180829712257e-9,4.479033636999309e-15,5.0,5,true
cubic_-1.0_7.0_-2.5_3.0_100_25.csv,2.994028281125555,750.8064153806174,6.0,6,true
cubic_-1.0_8.0_5.0_4.0_350_56.csv,1.184261577691359e-10,3.611026740565269e-18,8.0,8,true
cubic_-1.0_-9.0_4.0_-0.5_600_90.csv,1.3845280477653432e-10,9.255966298020506e-18,7.0,7,true
cubic_1.5_1.5_-3.5_-9.5_400_100.csv,2.077793048727017e-8,6.501485186209471e-14,10.0,10,true
cubic_1.5_3.5_3.0_3.5_600_72.csv,4.0989034388871914e-10,3.9068362035038244e-17,6.0,6,true
cubic_-1.5_-3.5_3.5_-8.5_950_238.csv,2.0241586184965854e-12,9.361115143134487e-22,20.0,20,true
cubic_1.5_4.0_-7.0_-5.0_400_20.csv,9.602996242641382e-8,8.422854301216511e-14,7.0,7,true
cubic_1.5_-6.0_0.5_-8.0_400_68.csv,4.0172487558720604e-10,2.687110825572064e-17,8.0,8,true
cubic_-1.5_-6.0_-9.5_-3.0_750_98.csv,1.4228263012228126e-10,2.9003399643754317e-18,9.0,9,true
cubic_1.5_-7.0_-7.0_1.0_350_63.csv,2.8319614324090496,35.53659783998731,9.0,9,true
cubic_-1.5_7.5_-3.0_6.5_1000_160.csv,2.5707258544116485e-10,3.566662458609007e-17,8.0,8,true
cubic_-1.5_-8.0_5.0_-6.5_450_54.csv,1.5083543303262559e-9,1.9424683628150625e-16,7.0,7,true
cubic_-1.5_-8.0_-6.0_-5.0_300_21.csv,4.778468936242298,131.0008567986459,6.0,6,true
cubic_-1.5_-9.5_4.0_2.0_550_94.csv,1.8082848884937164e-7,6.990720377130338e-12,7.0,7,true
cubic_-2.0_0.5_-5.5_6.0_600_78.csv,9.170264725355537e-8,4.650852180888234e-12,7.0,7,true
cubic_2.0_-2.0_3.0_2.0_100_3.csv,3.0069676570931847e-7,1.906149040520724e-12,5.0,5,true
cubic_-2.0_2.0_9.0_8.0_250_35.csv,1.626146094224623e-6,1.3763176343171604e-10,5.0,5,true
cubic_2.0_-2.5_8.5_4.0_950_76.csv,1.2102044655293298e-7,5.979677148869727e-12,5.0,5,true
cubic_2.0_3.5_-9.0_-9.0_500_85.csv,1.3500102655772395e-6,1.7660527757707698e-11,7.0,7,true
cubic_2.0_-4.5_10.0_-7.0_600_84.csv,5.3002047195604973e-11,7.583788871542487e-19,7.0,7,true
cubic_-2.0_5.0_3.5_0.5_400_76.csv,4.241348938727185e-9,3.594392107359283e-15,7.0,7,true
cubic_-2.0_7.0_1.0_-3.5_300_18.csv,4.939444213647448e-7,3.3774363317154736e-11,5.0,5,true
cubic_-2.0_7.0_6.5_7.5_750_38.csv,1.4639729428722603e-9,7.117421778681724e-16,6.0,6,true
cubic_-2.0_-9.5_-10.0_-3.5_150_28.csv,1.8528961298613922e-7,4.167627160376342e-12,8.0,8,true
cubic_2.0_9.5_-8.5_-7.0_850_119.csv,2.7331745311443e-7,2.6044703180959645e-11,6.0,6,true
cubic_2.0_9.5_-9.5_-1.0_550_55.csv,5.12096372040638e-6,3.0230248235781776e-10,6.0,6,true
