prob,error,minimum,feval,niter,convergence
cubic_0.0_5.0_-10.0_-6.0_250_48.csv,5.1618316359025584e-6,3.5141832456705534e-9,493.0,281,true
cubic_0.0_6.0_0.0_-8.0_150_20.csv,5.254367665746522e-6,2.863303261706931e-9,496.0,276,true
cubic_0.0_6.0_-3.5_9.0_850_85.csv,1.4314664147363487e-6,6.339352364767359e-9,554.0,310,true
cubic_0.0_8.5_-1.5_-7.5_850_178.csv,8.653301254213375e-6,7.836857482264484e-9,666.0,377,true
cubic_0.0_9.5_1.0_-9.5_700_35.csv,8.960304870708413e-6,2.555816516664471e-9,547.0,312,true
cubic_-0.5_2.0_-6.0_5.0_900_198.csv,2.8612810591965854e-6,6.354791287503215e-9,667.0,382,true
cubic_0.5_2.5_-2.5_8.0_1000_160.csv,1.1260268291124476e-6,1.197185600981499e-9,501.0,282,true
cubic_-0.5_-3.5_-5.5_1.5_400_32.csv,8.551771932374663e-6,3.991825108237239e-9,411.0,237,true
cubic_-0.5_4.0_0.0_-4.0_250_45.csv,3.0570006552821383e-6,3.628703287616937e-9,472.0,269,true
cubic_0.5_-4.0_2.0_5.5_200_28.csv,1.3381883873897493e-5,3.7203092199022374e-9,446.0,252,true
cubic_0.5_-5.5_1.5_2.5_400_72.csv,4.7108294058961775e-6,3.610713790141307e-9,426.0,242,true
cubic_-0.5_-6.0_-2.5_8.5_950_200.csv,4.405520709127586e-6,6.8219265632744625e-9,480.0,272,true
cubic_-0.5_6.5_-7.5_8.5_500_120.csv,6.256071301891097e-6,1.111898881461287e-8,552.0,312,true
cubic_0.5_-8.0_-10.0_-4.5_600_114.csv,3.5360644261572816e-6,4.154830683516136e-9,625.0,345,true
cubic_10.0_-0.5_2.5_-8.0_450_104.csv,8.252206169956366e-6,4.56861118683205e-9,503.0,280,true
cubic_-10.0_-10.0_6.0_-10.0_300_33.csv,1.0108526407037743e-5,1.515301121539657e-8,670.0,374,true
cubic_-10.0_1.5_-10.0_6.5_550_110.csv,3.65713138350543e-5,1.4544894977522611e-8,535.0,298,true
cubic_10.0_2.0_0.5_-9.0_500_85.csv,3.038834329283091e-6,4.528071871952701e-9,707.0,406,true
cubic_-10.0_2.0_7.0_-7.0_650_91.csv,3.5192547773732485e-6,7.775965604165374e-9,673.0,374,true
cubic_1.0_-0.5_-2.5_-1.0_600_78.csv,6.9565225341849946e-6,2.944096428215803e-9,418.0,235,true
cubic_-1.0_0.5_-4.5_-5.5_350_18.csv,2.7405207224884265e-5,8.797372266501378e-9,497.0,283,true
cubic_-10.0_-5.5_-1.0_-6.0_800_144.csv,1.402707409781101e-6,1.0018854926552653e-8,733.0,413,true
cubic_-1.0_-0.5_-9.5_8.5_900_99.csv,8.41434459886159e-7,3.085118742375804e-9,542.0,302,true
cubic_10.0_6.5_-10.0_3.0_650_72.csv,4.97865354720517e-6,1.2861376525776552e-8,474.0,273,true
