MO	Ds	Tempo
2.3550	1.2180	2.2795
2.3580	1.2174	2.1479
2.3580	1.2174	1.8740
2.3590	1.2175	1.7068
2.3590	1.2174	1.7973
2.3970	1.2174	2.0630
2.4030	1.2410	1.7151
2.5590	1.1520	2.6329
2.5600	1.1513	1.6110
2.5630	1.1518	1.5178
2.5630	1.1514	2.7151
2.5640	1.1513	2.6849
3.1760	1.1910	1.1096
3.1770	1.2000	1.0411
3.1780	1.1920	0.8849
3.1790	1.1900	1.0959
3.1790	1.1930	0.8329
3.1800	1.1904	0.8247
3.2700	1.2100	1.0219
3.2700	1.2300	1.1699
3.2810	1.2210	1.1562
3.2810	1.2220	0.6740
3.2850	1.2205	1.0411
3.3000	1.2206	0.8986
3.3310	1.2206	1.0740
3.3800	1.2208	0.7753
3.3910	1.2207	1.2712
3.4000	1.2210	1.0137
3.4180	1.2220	1.1425
3.4420	1.2206	1.0740
3.7580	1.1321	1.1014
3.7700	1.1320	1.0219
3.7790	1.1322	1.0767
3.8210	1.1450	0.9479
3.8620	1.1446	1.0877
3.8630	1.1446	0.8219
3.8700	1.1440	0.9589
3.8920	1.1446	0.8904

